cond,frame,time_s,lap_meanabs,rms_contrast,diff_rms,roi_w,roi_h
C3_gauss_injected,417,6.95,0.019479621201753616,0.13965575397014618,0.010283379815518856,322,594
C3_gauss_injected,418,6.966666666666667,0.019696176052093506,0.1396121084690094,0.010277584195137024,322,594
C3_gauss_injected,419,6.983333333333333,0.019784746691584587,0.13953648507595062,0.010453328490257263,322,594
C3_gauss_injected,420,7.0,0.019921952858567238,0.13944563269615173,0.010564037598669529,322,594
C3_gauss_injected,421,7.016666666666667,0.02014732174575329,0.13947276771068573,0.010623623616993427,322,594
C3_gauss_injected,422,7.033333333333333,0.02221812680363655,0.1394645720720291,0.011613193899393082,322,594
C3_gauss_injected,423,7.05,0.022992318496108055,0.1393737643957138,0.012716974131762981,322,594
C3_gauss_injected,424,7.066666666666666,0.023364651948213577,0.13943178951740265,0.013141741044819355,322,594
C3_gauss_injected,425,7.083333333333333,0.02404198795557022,0.1393081098794937,0.013349708169698715,322,594
C3_gauss_injected,426,7.1,0.024941330775618553,0.13935624063014984,0.01375933364033699,322,594
C3_gauss_injected,427,7.116666666666666,0.027748603373765945,0.13937163352966309,0.01504605170339346,322,594
C3_gauss_injected,428,7.133333333333334,0.028186632320284843,0.1392034888267517,0.01585102267563343,322,594
C3_gauss_injected,429,7.15,0.028358280658721924,0.13916346430778503,0.015963800251483917,322,594
C3_gauss_injected,430,7.166666666666667,0.02898661606013775,0.1390511691570282,0.01615927182137966,322,594
C3_gauss_injected,431,7.183333333333334,0.030109157785773277,0.13904212415218353,0.016557367518544197,322,594
C3_gauss_injected,432,7.2,0.030364377424120903,0.1388409286737442,0.01681395433843136,322,594
C3_gauss_injected,433,7.216666666666667,0.03054013103246689,0.13880668580532074,0.016896598041057587,322,594
C3_gauss_injected,434,7.233333333333333,0.03087826631963253,0.13863299787044525,0.017076343297958374,322,594
C3_gauss_injected,435,7.25,0.03104073368012905,0.13842782378196716,0.01716485619544983,322,594
C3_gauss_injected,436,7.266666666666667,0.03119315207004547,0.13844643533229828,0.01718616671860218,322,594
C3_gauss_injected,437,7.283333333333333,0.031379688531160355,0.13836804032325745,0.017244216054677963,322,594
C3_gauss_injected,438,7.3,0.03162289410829544,0.1383008360862732,0.017332114279270172,322,594
C3_gauss_injected,439,7.316666666666666,0.03142520785331726,0.13808701932430267,0.017343102023005486,322,594
C3_gauss_injected,440,7.333333333333333,0.03137846291065216,0.13799406588077545,0.01718987710773945,322,594
C3_gauss_injected,441,7.35,0.03123551793396473,0.13785332441329956,0.017141245305538177,322,594
C3_gauss_injected,442,7.366666666666666,0.030996613204479218,0.1377122849225998,0.01699298992753029,322,594
C3_gauss_injected,443,7.383333333333334,0.030646955594420433,0.13741785287857056,0.016658008098602295,322,594
C3_gauss_injected,444,7.4,0.03015287034213543,0.13721805810928345,0.016307193785905838,322,594
C3_gauss_injected,445,7.416666666666667,0.02951030805706978,0.13695752620697021,0.015813184902071953,322,594
C3_gauss_injected,446,7.433333333333334,0.02864828146994114,0.1367880403995514,0.015159846283495426,322,594
C3_gauss_injected,447,7.45,0.027695095166563988,0.1365034133195877,0.01446537859737873,322,594
C3_gauss_injected,448,7.466666666666667,0.026515228673815727,0.1362505704164505,0.013842248357832432,322,594
C3_gauss_injected,449,7.483333333333333,0.02531670592725277,0.13610459864139557,0.013116561807692051,322,594
C3_gauss_injected,450,7.5,0.023774629458785057,0.13594624400138855,0.012351982295513153,322,594
C3_gauss_injected,451,7.516666666666667,0.023252462968230247,0.13581840693950653,0.017099592834711075,322,594
C3_gauss_injected,452,7.533333333333333,0.02289595641195774,0.13578572869300842,0.011509113945066929,322,594
C3_gauss_injected,453,7.55,0.022246338427066803,0.1355656534433365,0.011341976933181286,322,594
C3_gauss_injected,454,7.566666666666666,0.02237066626548767,0.13564249873161316,0.011164135299623013,322,594
C3_gauss_injected,455,7.583333333333333,0.021874332800507545,0.13538122177124023,0.011215134523808956,322,594
C3_gauss_injected,456,7.6,0.021900739520788193,0.13538148999214172,0.010992240160703659,322,594
C3_gauss_injected,457,7.616666666666666,0.021259404718875885,0.13526415824890137,0.010965396650135517,322,594
C3_gauss_injected,458,7.633333333333334,0.02117263525724411,0.13517266511917114,0.010852091945707798,322,594
C3_gauss_injected,459,7.65,0.021244725212454796,0.13514487445354462,0.010839725844562054,322,594
C3_gauss_injected,460,7.666666666666667,0.021249480545520782,0.13503967225551605,0.010879089124500751,322,594
C3_gauss_injected,461,7.683333333333334,0.020836306735873222,0.13501599431037903,0.010781830176711082,322,594
C3_gauss_injected,462,7.7,0.02081219106912613,0.1348482221364975,0.010674705728888512,322,594
C3_gauss_injected,463,7.716666666666667,0.020904209464788437,0.13492777943611145,0.010677197948098183,322,594
C3_gauss_injected,464,7.733333333333333,0.02054384909570217,0.13492713868618011,0.010697323828935623,322,594
C3_gauss_injected,465,7.75,0.02051112800836563,0.1347527951002121,0.010662437416613102,322,594
C3_gauss_injected,466,7.766666666666667,0.020646285265684128,0.13483935594558716,0.010610423982143402,322,594
C3_gauss_injected,467,7.783333333333333,0.0204306710511446,0.13471339643001556,0.010599750094115734,322,594
C3_gauss_injected,468,7.8,0.020117057487368584,0.13462044298648834,0.010585685260593891,322,594
C3_gauss_injected,469,7.816666666666666,0.020044315606355667,0.13449257612228394,0.01054276991635561,322,594
C3_gauss_injected,470,7.833333333333333,0.020125586539506912,0.13451062142848969,0.010509940795600414,322,594
C3_gauss_injected,471,7.85,0.01981763169169426,0.13432970643043518,0.010590366087853909,322,594
C3_gauss_injected,472,7.866666666666666,0.0198579840362072,0.13428057730197906,0.010517274029552937,322,594
C3_gauss_injected,473,7.883333333333334,0.0199225265532732,0.1342952698469162,0.010513260960578918,322,594
C3_gauss_injected,474,7.9,0.01969190686941147,0.13415400683879852,0.010529758408665657,322,594
C3_gauss_injected,475,7.916666666666667,0.019758502021431923,0.13405291736125946,0.010471499525010586,322,594
C3_gauss_injected,476,7.933333333333334,0.019939500838518143,0.1340654343366623,0.010504852049052715,322,594
C3_gauss_injected,477,7.95,0.01967681758105755,0.1339597851037979,0.01046969648450613,322,594
C3_gauss_injected,478,7.966666666666667,0.019569426774978638,0.1337668001651764,0.010511255823075771,322,594
C3_gauss_injected,479,7.983333333333333,0.01966964267194271,0.1337810605764389,0.010473731905221939,322,594
C3_gauss_injected,480,8.0,0.01961752399802208,0.13369396328926086,0.010486401617527008,322,594
C3_gauss_injected,481,8.016666666666667,0.02129794843494892,0.1337052881717682,0.01123232115060091,322,594
C3_gauss_injected,482,8.033333333333333,0.02229505218565464,0.1336994469165802,0.012270059436559677,322,594
C3_gauss_injected,483,8.05,0.022617440670728683,0.13361020386219025,0.012697184458374977,322,594
C3_gauss_injected,484,8.066666666666666,0.02481602132320404,0.13366377353668213,0.013562816195189953,322,594
C3_gauss_injected,485,8.083333333333334,0.02541019208729267,0.13354197144508362,0.014380551874637604,322,594
C3_gauss_injected,486,8.1,0.025589147582650185,0.1334872841835022,0.014643939211964607,322,594
C3_gauss_injected,487,8.116666666666667,0.02774852141737938,0.13352246582508087,0.015498184598982334,322,594
C3_gauss_injected,488,8.133333333333333,0.028153907507658005,0.13327227532863617,0.01614251919090748,322,594
C3_gauss_injected,489,8.15,0.028318505734205246,0.1331912875175476,0.01622101292014122,322,594
C3_gauss_injected,490,8.166666666666666,0.02937391586601734,0.133049875497818,0.016460908576846123,322,594
C3_gauss_injected,491,8.183333333333334,0.03066101297736168,0.13304711878299713,0.01698262058198452,322,594
C3_gauss_injected,492,8.2,0.031088542193174362,0.13284295797348022,0.01729031279683113,322,594
C3_gauss_injected,493,8.216666666666667,0.03128086030483246,0.13272857666015625,0.01739414595067501,322,594
C3_gauss_injected,494,8.233333333333333,0.03184453025460243,0.13260984420776367,0.017595281824469566,322,594
C3_gauss_injected,495,8.25,0.03199863061308861,0.13253071904182434,0.01769709587097168,322,594
C3_gauss_injected,496,8.266666666666667,0.03224171698093414,0.1323995739221573,0.01784297078847885,322,594
C3_gauss_injected,497,8.283333333333333,0.03248398378491402,0.13220566511154175,0.017907114699482918,322,594
C3_gauss_injected,498,8.3,0.032477132976055145,0.13220205903053284,0.017903700470924377,322,594
C3_gauss_injected,499,8.316666666666666,0.032483410090208054,0.13216598331928253,0.017902091145515442,322,594
C3_gauss_injected,500,8.333333333333334,0.03200912848114967,0.13182811439037323,0.01821133680641651,322,594
C3_gauss_injected,501,8.35,0.032018642872571945,0.13173598051071167,0.01793360337615013,322,594
C3_gauss_injected,502,8.366666666666667,0.03203517198562622,0.13167817890644073,0.017906980589032173,322,594
C3_gauss_injected,503,8.383333333333333,0.03148937597870827,0.1313900500535965,0.017658531665802002,322,594
C3_gauss_injected,504,8.4,0.03160800784826279,0.13127952814102173,0.01723805069923401,322,594
C3_gauss_injected,505,8.416666666666666,0.02968646213412285,0.13105131685733795,0.016587037593126297,322,594
C3_gauss_injected,506,8.433333333333334,0.028836499899625778,0.13079068064689636,0.015608024783432484,322,594
C3_gauss_injected,507,8.45,0.02860604226589203,0.130697563290596,0.015055519528687,322,594
C3_gauss_injected,508,8.466666666666667,0.027790594846010208,0.1304820328950882,0.01470558438450098,322,594
C3_gauss_injected,509,8.483333333333333,0.026342103257775307,0.1303979605436325,0.014005518518388271,322,594
C3_gauss_injected,510,8.5,0.0245635025203228,0.13017021119594574,0.018587592989206314,322,594
C3_gauss_injected,511,8.516666666666667,0.02400713600218296,0.1303575485944748,0.012555558234453201,322,594
C3_gauss_injected,512,8.533333333333333,0.023271488025784492,0.1302245855331421,0.012328988872468472,322,594
C3_gauss_injected,513,8.55,0.023284446448087692,0.13028907775878906,0.012120258063077927,322,594
C3_gauss_injected,514,8.566666666666666,0.022434066981077194,0.13026776909828186,0.012100499123334885,322,594
C3_gauss_injected,515,8.583333333333334,0.02223920077085495,0.13015921413898468,0.011891830712556839,322,594
C3_gauss_injected,516,8.6,0.022274142131209373,0.13030768930912018,0.011860176920890808,322,594
C3_gauss_injected,517,8.616666666666667,0.0218791700899601,0.13035140931606293,0.011867751367390156,322,594
C3_gauss_injected,518,8.633333333333333,0.02201760746538639,0.13027778267860413,0.011796182952821255,322,594
C3_gauss_injected,519,8.65,0.02214435487985611,0.13041873276233673,0.011738632805645466,322,594
C3_gauss_injected,520,8.666666666666666,0.021552883088588715,0.13059377670288086,0.011822998523712158,322,594
C3_gauss_injected,521,8.683333333333334,0.021665526553988457,0.13055744767189026,0.011782056652009487,322,594
C3_gauss_injected,522,8.7,0.02175828441977501,0.13066214323043823,0.011810407042503357,322,594
C3_gauss_injected,523,8.716666666666667,0.02146705612540245,0.1308199018239975,0.011833534575998783,322,594
C3_gauss_injected,524,8.733333333333333,0.021613776683807373,0.13083454966545105,0.011815393343567848,322,594
C3_gauss_injected,525,8.75,0.0216431375592947,0.13093572854995728,0.011860447935760021,322,594
C3_gauss_injected,526,8.766666666666667,0.021153446286916733,0.13106593489646912,0.011845082975924015,322,594
C3_gauss_injected,527,8.783333333333333,0.021097352728247643,0.13100400567054749,0.011839144863188267,322,594
C3_gauss_injected,528,8.8,0.02114138938486576,0.13116665184497833,0.011855912394821644,322,594
C3_gauss_injected,529,8.816666666666666,0.02085992321372032,0.1313038319349289,0.011843603104352951,322,594
C3_gauss_injected,530,8.833333333333334,0.020759787410497665,0.13137951493263245,0.011876399628818035,322,594
C3_gauss_injected,531,8.85,0.020973265171051025,0.1316511183977127,0.01194742415100336,322,594
C3_gauss_injected,532,8.866666666666667,0.02064882218837738,0.13189570605754852,0.011948049999773502,322,594
C3_gauss_injected,533,8.883333333333333,0.020663708448410034,0.13193537294864655,0.012067586183547974,322,594
C3_gauss_injected,534,8.9,0.020751094445586205,0.13213154673576355,0.012046677991747856,322,594
C3_gauss_injected,535,8.916666666666666,0.02047569677233696,0.13226567208766937,0.012044805102050304,322,594
C3_gauss_injected,536,8.933333333333334,0.020467495545744896,0.1322914958000183,0.012028288096189499,322,594
C3_gauss_injected,537,8.95,0.02069835737347603,0.13246406614780426,0.012054982595145702,322,594
C3_gauss_injected,538,8.966666666666667,0.02048840932548046,0.13250309228897095,0.012010976672172546,322,594
C3_gauss_injected,539,8.983333333333333,0.020701147615909576,0.13251349329948425,0.012018997222185135,322,594
C4_linear_suppressed,0,0.0,0.015810174867510796,0.1580183207988739,0.0,321,594
C4_linear_suppressed,1,0.016666666666666666,0.016005972400307655,0.15784607827663422,0.010548235848546028,321,594
C4_linear_suppressed,2,0.03333333333333333,0.016262315213680267,0.15763792395591736,0.010593736544251442,321,594
C4_linear_suppressed,3,0.05,0.01641862466931343,0.15752558410167694,0.010587811470031738,321,594
C4_linear_suppressed,4,0.06666666666666667,0.016719723120331764,0.15718257427215576,0.010577082633972168,321,594
C4_linear_suppressed,5,0.08333333333333333,0.017039824277162552,0.1567702442407608,0.01067536510527134,321,594
C4_linear_suppressed,6,0.1,0.017204197123646736,0.15662173926830292,0.010637760162353516,321,594
C4_linear_suppressed,7,0.11666666666666667,0.017427798360586166,0.15639770030975342,0.010607758536934853,321,594
C4_linear_suppressed,8,0.13333333333333333,0.017570778727531433,0.15594413876533508,0.010678162798285484,321,594
C4_linear_suppressed,9,0.15,0.017793972045183182,0.15576310455799103,0.01075071096420288,321,594
C4_linear_suppressed,10,0.16666666666666666,0.018205391243100166,0.1553792655467987,0.010866740718483925,321,594
C4_linear_suppressed,11,0.18333333333333332,0.018290620297193527,0.1553414911031723,0.010902594774961472,321,594
C4_linear_suppressed,12,0.2,0.01861368678510189,0.155029758810997,0.010894082486629486,321,594
C4_linear_suppressed,13,0.21666666666666667,0.0189092718064785,0.1547057181596756,0.010969357565045357,321,594
C4_linear_suppressed,14,0.23333333333333334,0.019113462418317795,0.154661625623703,0.011027052998542786,321,594
C4_linear_suppressed,15,0.25,0.01947132498025894,0.15425711870193481,0.011076015420258045,321,594
C4_linear_suppressed,16,0.26666666666666666,0.01957819052040577,0.1543019413948059,0.011044574901461601,321,594
C4_linear_suppressed,17,0.2833333333333333,0.01949954405426979,0.1540442407131195,0.010990072041749954,321,594
C4_linear_suppressed,18,0.3,0.01969311758875847,0.15372765064239502,0.01096364762634039,321,594
C4_linear_suppressed,19,0.31666666666666665,0.019693447276949883,0.15377554297447205,0.010951346717774868,321,594
C4_linear_suppressed,20,0.3333333333333333,0.01949147880077362,0.15354052186012268,0.0108545096591115,321,594
C4_linear_suppressed,21,0.35,0.019773658365011215,0.15336190164089203,0.010855779983103275,321,594
C4_linear_suppressed,22,0.36666666666666664,0.01991211250424385,0.15343843400478363,0.01085736695677042,321,594
C4_linear_suppressed,23,0.38333333333333336,0.020216751843690872,0.1534048616886139,0.010933587327599525,321,594
C4_linear_suppressed,24,0.4,0.02009005658328533,0.1533346176147461,0.010913899168372154,321,594
C4_linear_suppressed,25,0.4166666666666667,0.020321393385529518,0.15311363339424133,0.010886951349675655,321,594
C4_linear_suppressed,26,0.43333333333333335,0.020390909165143967,0.15311174094676971,0.01089863944798708,321,594
C4_linear_suppressed,27,0.45,0.02034870721399784,0.15309493243694305,0.010960467159748077,321,594
C4_linear_suppressed,28,0.4666666666666667,0.02042299509048462,0.15293824672698975,0.01094497088342905,321,594
C4_linear_suppressed,29,0.48333333333333334,0.020513858646154404,0.15309634804725647,0.010936028324067593,321,594
C4_linear_suppressed,30,0.5,0.020450439304113388,0.15300148725509644,0.0,322,594
C4_linear_suppressed,31,0.5166666666666667,0.020757781341671944,0.15340624749660492,0.0,321,594
C4_linear_suppressed,32,0.5333333333333333,0.020620068535208702,0.15347270667552948,0.01104031689465046,321,594
C4_linear_suppressed,33,0.55,0.02057667076587677,0.15333925187587738,0.011096848174929619,321,594
C4_linear_suppressed,34,0.5666666666666667,0.020713893696665764,0.15359732508659363,0.011121640913188457,321,594
C4_linear_suppressed,35,0.5833333333333334,0.020700648427009583,0.15362943708896637,0.011198703199625015,321,594
C4_linear_suppressed,36,0.6,0.020849883556365967,0.15383747220039368,0.01119248941540718,321,594
C4_linear_suppressed,37,0.6166666666666667,0.020613936707377434,0.15399958193302155,0.011229335330426693,321,594
C4_linear_suppressed,38,0.6333333333333333,0.0206291563808918,0.15400075912475586,0.011363697238266468,321,594
C4_linear_suppressed,39,0.65,0.020671771839261055,0.15429291129112244,0.011405333876609802,321,594
C4_linear_suppressed,40,0.6666666666666666,0.020740052685141563,0.1545141637325287,0.01150632556527853,321,594
C4_linear_suppressed,41,0.6833333333333333,0.020693490281701088,0.15457683801651,0.011742353439331055,321,594
C4_linear_suppressed,42,0.7,0.02084881253540516,0.15482015907764435,0.011800240725278854,321,594
C4_linear_suppressed,43,0.7166666666666667,0.02089315466582775,0.1551266759634018,0.011978988535702229,321,594
C4_linear_suppressed,44,0.7333333333333333,0.020907307043671608,0.15540100634098053,0.012084102258086205,321,594
C4_linear_suppressed,45,0.75,0.020904013887047768,0.15558625757694244,0.012272528372704983,321,594
C4_linear_suppressed,46,0.7666666666666667,0.020866500213742256,0.15602600574493408,0.012376205064356327,321,594
C4_linear_suppressed,47,0.7833333333333333,0.020611882209777832,0.15638865530490875,0.01243341900408268,321,594
C4_linear_suppressed,48,0.8,0.02063187211751938,0.1565287858247757,0.01264301035553217,321,594
C4_linear_suppressed,49,0.8166666666666667,0.020446769893169403,0.1568216234445572,0.01269584335386753,321,594
C4_linear_suppressed,50,0.8333333333333334,0.020815739408135414,0.15704119205474854,0.012916742824018002,321,594
C4_linear_suppressed,51,0.85,0.020975997671484947,0.15738119184970856,0.013172831386327744,321,594
C4_linear_suppressed,52,0.8666666666666667,0.021070608869194984,0.15792405605316162,0.013391954824328423,321,594
C4_linear_suppressed,53,0.8833333333333333,0.02113518677651882,0.15831701457500458,0.013747061602771282,321,594
C4_linear_suppressed,54,0.9,0.021076036617159843,0.15871669352054596,0.013850526884198189,321,594
C4_linear_suppressed,55,0.9166666666666666,0.021161923184990883,0.15929843485355377,0.014090885408222675,321,594
C4_linear_suppressed,56,0.9333333333333333,0.02128186821937561,0.15971383452415466,0.014410912059247494,321,594
C4_linear_suppressed,57,0.95,0.021227693185210228,0.16008061170578003,0.014567137695848942,321,594
C4_linear_suppressed,58,0.9666666666666667,0.021344227716326714,0.1602749079465866,0.014689216390252113,321,594
C4_linear_suppressed,59,0.9833333333333333,0.021493583917617798,0.16044646501541138,0.014696144498884678,321,594
C4_linear_suppressed,60,1.0,0.021470505744218826,0.16060052812099457,0.014757340773940086,321,594
C4_linear_suppressed,61,1.0166666666666666,0.021748654544353485,0.160379096865654,0.014792872592806816,321,594
C4_linear_suppressed,62,1.0333333333333334,0.0216235239058733,0.15998777747154236,0.014823530800640583,321,594
C4_linear_suppressed,63,1.05,0.021794479340314865,0.15973308682441711,0.014731149189174175,321,594
C4_linear_suppressed,64,1.0666666666666667,0.021944694221019745,0.15942136943340302,0.0146583067253232,321,594
C4_linear_suppressed,65,1.0833333333333333,0.02179398201406002,0.15878504514694214,0.014658880420029163,321,594
C4_linear_suppressed,66,1.1,0.02188340574502945,0.15848791599273682,0.014504790306091309,321,594
C4_linear_suppressed,67,1.1166666666666667,0.021903811022639275,0.1580681949853897,0.01446486171334982,321,594
C4_linear_suppressed,68,1.1333333333333333,0.02187986671924591,0.15776418149471283,0.014368743635714054,321,594
C4_linear_suppressed,69,1.15,0.02195432037115097,0.1572420746088028,0.014347015880048275,321,594
C4_linear_suppressed,70,1.1666666666666667,0.02176017314195633,0.15674802660942078,0.014117569662630558,321,594
C4_linear_suppressed,71,1.1833333333333333,0.02190866693854332,0.15651069581508636,0.01405088696628809,321,594
C4_linear_suppressed,72,1.2,0.021972747519612312,0.15621568262577057,0.013956891372799873,321,594
C4_linear_suppressed,73,1.2166666666666666,0.02191697061061859,0.15565642714500427,0.013773764483630657,321,594
C4_linear_suppressed,74,1.2333333333333334,0.022035108879208565,0.15551955997943878,0.013611871749162674,321,594
C4_linear_suppressed,75,1.25,0.02212025597691536,0.15500327944755554,0.013536287471652031,321,594
C4_linear_suppressed,76,1.2666666666666666,0.02224925346672535,0.15490613877773285,0.013422980904579163,321,594
C4_linear_suppressed,77,1.2833333333333334,0.021934743970632553,0.1545223444700241,0.013219322077929974,321,594
C4_linear_suppressed,78,1.3,0.021906442940235138,0.15412002801895142,0.013063166290521622,321,594
C4_linear_suppressed,79,1.3166666666666667,0.021967817097902298,0.1541076898574829,0.012938662432134151,321,594
C4_linear_suppressed,80,1.3333333333333333,0.021619578823447227,0.15384216606616974,0.012804439291357994,321,594
C4_linear_suppressed,81,1.35,0.021861115470528603,0.15361416339874268,0.012722102925181389,321,594
C4_linear_suppressed,82,1.3666666666666667,0.021891634911298752,0.15365207195281982,0.012681332416832447,321,594
C4_linear_suppressed,83,1.3833333333333333,0.022019395604729652,0.15357007086277008,0.012703180313110352,321,594
C4_linear_suppressed,84,1.4,0.022102074697613716,0.1535218060016632,0.012712614610791206,321,594
C4_linear_suppressed,85,1.4166666666666667,0.021920964121818542,0.15328837931156158,0.012499198317527771,321,594
C4_linear_suppressed,86,1.4333333333333333,0.0221063494682312,0.1532781422138214,0.0123392129316926,321,594
C4_linear_suppressed,87,1.45,0.02171488106250763,0.1531592160463333,0.012291904538869858,321,594
C4_linear_suppressed,88,1.4666666666666666,0.021719614043831825,0.15287509560585022,0.012253886088728905,321,594
C4_linear_suppressed,89,1.4833333333333334,0.021819649264216423,0.15301461517810822,0.01213784422725439,321,594
C4_linear_suppressed,90,1.5,0.0215698704123497,0.15296751260757446,0.0,320,594
C4_linear_suppressed,91,1.5166666666666666,0.02177613414824009,0.15325433015823364,0.0,321,594
C4_linear_suppressed,92,1.5333333333333334,0.021426906809210777,0.1532696634531021,0.012151985429227352,321,594
C4_linear_suppressed,93,1.55,0.02145175077021122,0.15312258899211884,0.01221221312880516,321,594
C4_linear_suppressed,94,1.5666666666666667,0.021538294851779938,0.15338017046451569,0.012158922851085663,321,594
C4_linear_suppressed,95,1.5833333333333333,0.02165190875530243,0.15338881313800812,0.012316115200519562,321,594
C4_linear_suppressed,96,1.6,0.021858152002096176,0.15369220077991486,0.012385988608002663,321,594
C4_linear_suppressed,97,1.6166666666666667,0.021870573982596397,0.153889462351799,0.012526635080575943,321,594
C4_linear_suppressed,98,1.6333333333333333,0.0218354444950819,0.15403449535369873,0.012520872987806797,321,594
C4_linear_suppressed,99,1.65,0.021411847323179245,0.15427495539188385,0.012486646883189678,321,594
C4_linear_suppressed,100,1.6666666666666667,0.02134620025753975,0.15438531339168549,0.012595156207680702,321,594
C4_linear_suppressed,101,1.6833333333333333,0.021268868818879128,0.1546158343553543,0.012590083293616772,321,594
C4_linear_suppressed,102,1.7,0.02126673050224781,0.15484845638275146,0.01280348189175129,321,594
C4_linear_suppressed,103,1.7166666666666666,0.021427234634757042,0.1551607996225357,0.01284663937985897,321,594
C4_linear_suppressed,104,1.7333333333333334,0.021538708359003067,0.15543809533119202,0.01306613814085722,321,594
C4_linear_suppressed,105,1.75,0.02140033431351185,0.15575705468654633,0.013357062824070454,321,594
C4_linear_suppressed,106,1.7666666666666666,0.02151295356452465,0.15627017617225647,0.013463659211993217,321,594
C4_linear_suppressed,107,1.7833333333333334,0.021346861496567726,0.1566431224346161,0.013570613227784634,321,594
C4_linear_suppressed,108,1.8,0.02127874083817005,0.15693871676921844,0.01380985602736473,321,594
C4_linear_suppressed,109,1.8166666666666667,0.021191539242863655,0.15723073482513428,0.013916702009737492,321,594
C4_linear_suppressed,110,1.8333333333333333,0.0213395394384861,0.1575194001197815,0.01408106554299593,321,594
C4_linear_suppressed,111,1.85,0.02152825891971588,0.1579405665397644,0.014264877885580063,321,594
C4_linear_suppressed,112,1.8666666666666667,0.021646561101078987,0.15839120745658875,0.014498972333967686,321,594
C4_linear_suppressed,113,1.8833333333333333,0.02187320776283741,0.15887796878814697,0.014835132285952568,321,594
C4_linear_suppressed,114,1.9,0.021757619455456734,0.15942709147930145,0.015071400441229343,321,594
C4_linear_suppressed,115,1.9166666666666667,0.021550554782152176,0.16014882922172546,0.015317758545279503,321,594
C4_linear_suppressed,116,1.9333333333333333,0.02166885696351528,0.16070029139518738,0.015572596341371536,321,594
C4_linear_suppressed,117,1.95,0.02165026217699051,0.1612471640110016,0.01573261059820652,321,594
C4_linear_suppressed,118,1.9666666666666666,0.021654047071933746,0.16154517233371735,0.015980564057826996,321,594
C4_linear_suppressed,119,1.9833333333333334,0.02191532775759697,0.16182947158813477,0.016127828508615494,321,594
C4_linear_suppressed,120,2.0,0.021881435066461563,0.1620132327079773,0.016223298385739326,321,594
C4_linear_suppressed,121,2.0166666666666666,0.02218516543507576,0.1616169959306717,0.016292421147227287,321,594
C4_linear_suppressed,122,2.033333333333333,0.02201034687459469,0.16102124750614166,0.01626943051815033,321,594
C4_linear_suppressed,123,2.05,0.022173071280121803,0.16049185395240784,0.01617194339632988,321,594
C4_linear_suppressed,124,2.066666666666667,0.022208692505955696,0.15995001792907715,0.016078518703579903,321,594
C4_linear_suppressed,125,2.0833333333333335,0.02199685387313366,0.15911169350147247,0.016084453091025352,321,594
C4_linear_suppressed,126,2.1,0.02206488884985447,0.1585463583469391,0.01591837778687477,321,594
C4_linear_suppressed,127,2.1166666666666667,0.02214616723358631,0.15784822404384613,0.015877218917012215,321,594
C4_linear_suppressed,128,2.1333333333333333,0.02229968085885048,0.15736287832260132,0.015775129199028015,321,594
C4_linear_suppressed,129,2.15,0.02218804322183132,0.15666888654232025,0.015737317502498627,321,594
C4_linear_suppressed,130,2.1666666666666665,0.02207796648144722,0.15591834485530853,0.015584646724164486,321,594
C4_linear_suppressed,131,2.183333333333333,0.02223205752670765,0.15552961826324463,0.01539614051580429,321,594
C4_linear_suppressed,132,2.2,0.02221091277897358,0.1550350934267044,0.01525168027728796,321,594
C4_linear_suppressed,133,2.216666666666667,0.022208692505955696,0.15433290600776672,0.015165528282523155,321,594
C4_linear_suppressed,134,2.2333333333333334,0.022357188165187836,0.15394651889801025,0.014972591772675514,321,594
C4_linear_suppressed,135,2.25,0.022306343540549278,0.15329697728157043,0.014819036237895489,321,594
C4_linear_suppressed,136,2.2666666666666666,0.022415267303586006,0.15307897329330444,0.014690130949020386,321,594
C4_linear_suppressed,137,2.283333333333333,0.022608760744333267,0.15265807509422302,0.01466810330748558,321,594
C4_linear_suppressed,138,2.3,0.022309716790914536,0.1520034223794937,0.014498209580779076,321,594
C4_linear_suppressed,139,2.316666666666667,0.022452369332313538,0.15190215408802032,0.014256665483117104,321,594
C4_linear_suppressed,140,2.3333333333333335,0.022434106096625328,0.15161550045013428,0.014211912639439106,321,594
C4_linear_suppressed,141,2.35,0.022083234041929245,0.15120892226696014,0.013960011303424835,321,594
C4_linear_suppressed,142,2.3666666666666667,0.022189529612660408,0.15082885324954987,0.013738865964114666,321,594
C4_linear_suppressed,143,2.3833333333333333,0.02230297401547432,0.15074357390403748,0.013680607080459595,321,594
C4_linear_suppressed,144,2.4,0.02240251563489437,0.15059176087379456,0.013695275411009789,321,594
C4_linear_suppressed,145,2.4166666666666665,0.022007547318935394,0.15036392211914062,0.013609718531370163,321,594
C4_linear_suppressed,146,2.433333333333333,0.022064514458179474,0.15000256896018982,0.013403649441897869,321,594
C4_linear_suppressed,147,2.45,0.022117624059319496,0.14998775720596313,0.013326741755008698,321,594
C4_linear_suppressed,148,2.466666666666667,0.02201034314930439,0.14974093437194824,0.013315984047949314,321,594
C4_linear_suppressed,149,2.4833333333333334,0.022191908210515976,0.14975468814373016,0.01312684454023838,321,594
C4_linear_suppressed,150,2.5,0.021895738318562508,0.1494721621274948,0.0,322,594
C4_linear_suppressed,151,2.5166666666666666,0.02222852222621441,0.14982594549655914,0.0,321,594
C4_linear_suppressed,152,2.533333333333333,0.02193852886557579,0.14982256293296814,0.01311098039150238,321,594
C4_linear_suppressed,153,2.55,0.021977191790938377,0.14967308938503265,0.013105005025863647,321,594
